U+1B3F2	SHUISHU LOGOGRAM XI3-B
U+1B3F3	SHUISHU LOGOGRAM AAN1 MA4
U+1B3F4	SHUISHU LOGOGRAM SAM5
U+1B3F5	SHUISHU LOGOGRAM SUM3
U+1B3F6	SHUISHU LOGOGRAM GUNG2
U+1B3F7	SHUISHU LOGOGRAM LAI6
U+1B3F8	SHUISHU LOGOGRAM SYEEN1
U+1B3F9	SHUISHU LOGOGRAM BYAAN6-A
U+1B3FA	SHUISHU LOGOGRAM QNNAAM1 QNNAG7
U+1B3FB	SHUISHU LOGOGRAM XGAAN2 MEN2
U+1B3FC	SHUISHU LOGOGRAM MING6
U+1B3FD	SHUISHU LOGOGRAM DA4
U+1B3FE	SHUISHU LOGOGRAM DAI6 BAI6
U+1B3FF	SHUISHU LOGOGRAM NGAAN5
U+1B400	SHUISHU LOGOGRAM QDEI3
U+1B401	SHUISHU LOGOGRAM SING2
U+1B402	SHUISHU LOGOGRAM DEI1
U+1B403	SHUISHU LOGOGRAM HAANG4 DANG1
U+1B404	SHUISHU LOGOGRAM SEN1-B
U+1B405	SHUISHU LOGOGRAM UN1
U+1B406	SHUISHU LOGOGRAM EI3 HO3
U+1B407	SHUISHU LOGOGRAM MOG8 FONG2
U+1B408	SHUISHU LOGOGRAM HNGAAN5
U+1B409	SHUISHU LOGOGRAM HAN5
U+1B40A	SHUISHU LOGOGRAM SAI6 FAN1
U+1B40B	SHUISHU LOGOGRAM VA2
U+1B40C	SHUISHU LOGOGRAM BU4
U+1B40D	SHUISHU LOGOGRAM LAAG8
U+1B40E	SHUISHU LOGOGRAM XUM1 NNOD8 U1
U+1B40F	SHUISHU LOGOGRAM ZEEM4
U+1B410	SHUISHU LOGOGRAM DONG1
U+1B411	SHUISHU LOGOGRAM BAI1
U+1B412	SHUISHU LOGOGRAM BYEENG2
U+1B413	SHUISHU LOGOGRAM BIG7 SUI3 KAANG5
U+1B414	SHUISHU LOGOGRAM JUM1
U+1B415	SHUISHU LOGOGRAM JAI5
U+1B416	SHUISHU LOGOGRAM DIN2
U+1B417	SHUISHU LOGOGRAM BYED8 YING5
U+1B418	SHUISHU LOGOGRAM BYED8-A
U+1B419	SHUISHU LOGOGRAM BYEENG2 BYAG8
U+1B41A	SHUISHU LOGOGRAM QYEN5 DI4
U+1B41B	SHUISHU LOGOGRAM JI3
U+1B41C	SHUISHU LOGOGRAM DAI6 SAD7
U+1B41D	SHUISHU LOGOGRAM LYOG8-A
U+1B41E	SHUISHU LOGOGRAM LA2 MAANG4
