405	TYEEN1GGAANG1OU4	tʰjen¹ qaːŋ¹ au⁴	米天罡	S5
406	U1	ʔu¹	上	S6
407	UM3	ʔum³	抱	S6
408	UN1	ʔun¹	扛	S6
409	UN1DANG5	ʔun¹ taŋ⁵	凳子	S4
410	UN1DANG5QNING3	ʔun¹ taŋ⁵ ʔniŋ³	椅子	S4
411	VA2	va²	哇(乌鸦叫声)	S4
412	VA3	va³	愚笨	S6
413	VAANG1	vaːŋ¹	高	S1
414	VAANG6	vaːŋ⁶	成活	S3
415	VAN1	van¹	日	S1
416	VYEN3	vjən³	飞	S1
417	VYEN5MOM6	vjən⁵ mom⁶	供鱼	S3
418	XA3	ɕa³	媳妇	S3
419	XAM3	ɕam³	箭	S6
420	XED7-A	ɕət⁷	早上	S4
421	XED7-B	ɕət⁷	七	S6
422	XEEN1	ɕen¹	千	S8
423	XEEN2	ɕen²	钱	S6
424	XEEN2BYED8XGAAN2	ɕen² pjət⁸ ɣaːn²	财满屋	S8
425	XEEN6	ɕen⁶	辛苦	S6
426	XEN1	ɕən¹	成	S6
427	XEN1	ɕən¹	辛	S1
428	XEEU3MOG8NGAAN6	ɕeu³ mok⁸ ŋaːn⁶	井木犴	S3
429	XGA2FAI4NU4	ɣa² faːi⁴ nu⁴	两兄弟	S4
430	XGAAN2	ɣaːn²	房屋	S1
431	XGAAN2FU5	ɣaːn² fu⁵	富贵之家	S8
432	XGAAN2MEN2	ɣaːn² mən²	衙门	S5
433	XGAAN6	ɣaːn⁶	晒楼	S6
434	XGGAI3	ʁaːi³	亥	S1
435	XGGAO3	ʁaːu³	里面	S6
436	XGO3	ɣo³	或是	S6
437	XI3-A	ɕi³	子	S1
438	XI3-B	ɕi³	桌	S1
439	XI3VYEN5	ɕi³ vjən⁵	供桌	S4
440	XI4	ɕi⁴	巳	S1
441	XI5	ɕi⁵	四	S6
442	XI5HAAN5	ɕi⁵ haːn⁵	四散	S1
443	XING1NDA1	ɕiŋ¹ ⁿda¹	斜视	S6
444	XOD8LU6	ɕot⁸ lu⁶	绝路	S3
445	XON6	ɕon⁶	锣	S6
446	XONG1	ɕoŋ¹	凶	S1
447	XONG1QYED7	ɕoŋ¹ ʔjət⁷	虫咬	S5
448	XONG1XEEB7	ɕoŋ¹ ɕep⁷	休显(条目名称)	S5
449	XU1	ɕu¹	秋	S7
450	XU1YU3	ɕu¹ ju³	清澈	S6
451	XUM1NNOD8U1	ɕum¹ ȵot⁸ ʔu¹	心月狐	S1
452	YA3	ja³	夏	S4
453	YA4FU5	ja⁴ fu⁵	富人	S8
454	YAANG2	jaːŋ²	阳	S8
455	YED8FA3SYA2	jət⁸ fa³ sja²	翼火蛇	S3
456	YED8MYA1	jat⁸ mja¹	牵手	S1
457	YEENG3GA1	jeŋ³ ka¹	彩虹	S4
458	YEN2	jən²	齐全	S6
459	YEN2YUI2	jən² jui²	整齐	S6
460	YI2	ji²	寅	S1
461	YIU1	jiu¹	剪刀	S4
462	YONG2	joŋ²	融化	S6
463	YONG6	joŋ⁶	用	S6
464	YU4	ju⁴	酉	S5
465	YUM1-A	jum¹	阴	S8
466	YUM1-B	jum¹	荫	S8
467	ZAANG1NNOD8LOG8	ʦaːŋ¹ ȵot⁸ lok⁸	张月鹿	S3
468	ZAB8	tsap⁸	全部	S6
469	ZAM2	tsam²	躲藏	S6
470	ZAN6	tsan⁶	跟随	S6
471	ZEEM4	tsem⁴	煞	S4
472	ZEENG6	tseŋ⁶	锅	S6
473	ZEN2	tsən²	坡	S6
474	ZEN5	tsən⁵	震	S8
475	ZI3	tsi³	纸	S6
476	ZI3LYEEU3	tsi³ ljeu³	纸幡	S3
477	ZI6	tsi⁶	忌	S6
478	ZING3	ʦiŋ³	收藏	S6
479	ZING5	tsiŋ⁵	枝	S7
480	ZYE1	ʦje¹	吃	S6
481	ZYEENG1	tsjeŋ¹	正	S1
482	ZON5	ʦon⁵	转	S6
483	ZONG2	tsoŋ²	层	S8
484	ZOU6	tsau⁶	双	S6
485	ZUD7	tsut⁷	出人才	S6
486	ZUI2	tsui²	锤	S4
